   1.000000      0.9000000    
  1.4285715E-03  4.5462176E-02  1.6655820E-09
  1.5307419E-03  4.8534133E-02  2.1875757E-09
  1.6402196E-03  5.1794846E-02  2.8721185E-09
  1.7575268E-03  5.5253789E-02  3.7694483E-09
  1.8832241E-03  5.8918815E-02  4.9450413E-09
  2.0179111E-03  6.2797680E-02  6.4842460E-09
  2.1622304E-03  6.6897564E-02  8.4981844E-09
  2.3168717E-03  7.1224086E-02  1.1131218E-08
  2.4825728E-03  7.5783826E-02  1.4571100E-08
  2.6601246E-03  8.0579109E-02  1.9060675E-08
  2.8503749E-03  8.5613564E-02  2.4914858E-08
  3.0542319E-03  9.0885684E-02  3.2539539E-08
  3.2726682E-03  9.6393883E-02  4.2458566E-08
  3.5067273E-03  0.1021326      5.5345250E-08
  3.7575257E-03  0.1080928      7.2063031E-08
  4.0262616E-03  0.1142624      9.3717198E-08
  4.3142168E-03  0.1206239      1.2171638E-07
  4.6227667E-03  0.1271554      1.5785224E-07
  4.9533835E-03  0.1338309      2.0439597E-07
  5.3076465E-03  0.1406177      2.6421392E-07
  5.6872456E-03  0.1474781      3.4091298E-07
  6.0939929E-03  0.1543692      4.3901213E-07
  6.5298313E-03  0.1612417      5.6414814E-07
  6.9968412E-03  0.1680432      7.2333069E-07
  7.4972501E-03  0.1747149      9.2522157E-07
  8.0334470E-03  0.1811961      1.1804957E-06
  8.6079948E-03  0.1874238      1.5022445E-06
  9.2236325E-03  0.1933333      1.9064369E-06
  9.8832995E-03  0.1988607      2.4124861E-06
  1.0590145E-02  0.2039444      3.0438791E-06
  1.1347548E-02  0.2085253      3.8289058E-06
  1.2159115E-02  0.2125493      4.8014836E-06
  1.3028725E-02  0.2159682      6.0021302E-06
  1.3960531E-02  0.2187405      7.4790246E-06
  1.4958978E-02  0.2208320      9.2891869E-06
  1.6028836E-02  0.2222160      1.1499823E-05
  1.7175207E-02  0.2228743      1.4189780E-05
  1.8403564E-02  0.2227957      1.7451090E-05
  1.9719778E-02  0.2219771      2.1390651E-05
  2.1130122E-02  0.2204223      2.6131929E-05
  2.2641333E-02  0.2181419      3.1816693E-05
  2.4260623E-02  0.2151531      3.8606755E-05
  2.5995726E-02  0.2114785      4.6685491E-05
  2.7854925E-02  0.2071467      5.6259254E-05
  2.9847087E-02  0.2021918      6.7558394E-05
  3.1981729E-02  0.1966527      8.0838021E-05
  3.4269046E-02  0.1905739      9.6378317E-05
  3.6719941E-02  0.1840042      1.1448366E-04
  3.9346125E-02  0.1769974      1.3548238E-04
  4.2160131E-02  0.1696113      1.5972409E-04
  4.5175388E-02  0.1619077      1.8757852E-04
  4.8406310E-02  0.1539514      2.1943168E-04
  5.1868293E-02  0.1458093      2.5568245E-04
  5.5577878E-02  0.1375501      2.9674041E-04
  5.9552774E-02  0.1292420      3.4301996E-04
  6.3811943E-02  0.1209520      3.9493782E-04
  6.8375729E-02  0.1127446      4.5290962E-04
  7.3265910E-02  0.1046808      5.1734789E-04
  7.8505829E-02  9.6815810E-02  5.8865634E-04
  8.4120505E-02  8.9199409E-02  6.6723290E-04
  9.0136781E-02  8.1874199E-02  7.5346511E-04
  9.6583307E-02  7.4875697E-02  8.4772881E-04
  0.1034909      6.8231814E-02  9.5039181E-04
  0.1108925      6.1962873E-02  1.0618115E-03
  0.1188234      5.6082163E-02  1.1823348E-03
  0.1273216      5.0596107E-02  1.3122990E-03
  0.1364275      4.5505218E-02  1.4520338E-03
  0.1461847      4.0804558E-02  1.6018586E-03
  0.1566397      3.6484774E-02  1.7620859E-03
  0.1678425      3.2532725E-02  1.9330202E-03
  0.1798465      2.8932473E-02  2.1149563E-03
  0.1927090      2.5665740E-02  2.3081796E-03
  0.2064914      2.2712827E-02  2.5129667E-03
  0.2212595      2.0053117E-02  2.7295905E-03
  0.2370838      1.7665561E-02  2.9583054E-03
  0.2540399      1.5529147E-02  3.1993608E-03
  0.2722087      1.3623229E-02  3.4529963E-03
  0.2916769      1.1927818E-02  3.7194346E-03
  0.3125374      1.0423742E-02  3.9988905E-03
  0.3348898      9.0928553E-03  4.2915684E-03
  0.3588409      7.9181027E-03  4.5976597E-03
  0.3845049      6.8835872E-03  4.9173422E-03
  0.4120044      5.9746020E-03  5.2507883E-03
  0.4414707      5.1776036E-03  5.5981460E-03
  0.4730444      4.4802176E-03  5.9595648E-03
  0.5068763      3.8711745E-03  6.3351756E-03
  0.5431278      3.3402795E-03  6.7250989E-03
  0.5819718      2.8783244E-03  7.1294419E-03
  0.6235940      2.4770461E-03  7.5483113E-03
  0.6681930      2.1290458E-03  7.9817958E-03
  0.7159817      1.8277221E-03  8.4299631E-03
  0.7671881      1.5672139E-03  8.8929059E-03
  0.8220572      1.3423174E-03  9.3706837E-03
  0.8808501      1.1484396E-03  9.8633431E-03
  0.9438478      9.8152622E-04  1.0370933E-02
   1.011351      8.3801453E-04  1.0893496E-02
   1.083682      7.1477826E-04  1.1431072E-02
   1.161186      6.0908048E-04  1.1983683E-02
   1.244233      5.1853177E-04  1.2551361E-02
   1.333220      4.4104777E-04  1.3134123E-02
   1.428571      3.7481560E-04  1.3731979E-02
   1.530742      3.1826063E-04  1.4344943E-02
   1.640220      2.7001853E-04  1.4973019E-02
   1.757527      2.2890752E-04  1.5616216E-02
   1.883224      1.9390664E-04  1.6274525E-02
   2.017910      1.6413521E-04  1.6947959E-02
   2.162230      1.3883437E-04  1.7636500E-02
   2.316871      1.1735118E-04  1.8340148E-02
   2.482573      9.9124707E-05  1.9058902E-02
   2.660125      8.3673862E-05  1.9792730E-02
   2.850375      7.0586117E-05  2.0541636E-02
   3.054232      5.9508398E-05  2.1305611E-02
   3.272668      5.0138926E-05  2.2084653E-02
   3.506727      4.2219781E-05  2.2878712E-02
   3.757525      3.5531160E-05  2.3687808E-02
   4.026260      2.9885583E-05  2.4511909E-02
   4.314215      2.5123483E-05  2.5351005E-02
   4.622765      2.1109132E-05  2.6205087E-02
   4.953382      1.7727176E-05  2.7074147E-02
   5.307643      1.4879669E-05  2.7958149E-02
   5.687247      1.2483491E-05  2.8857075E-02
   6.093996      1.0468308E-05  2.9770948E-02
   6.529833      8.7744129E-06  3.0699700E-02
   6.996841      7.3513402E-06  3.1643353E-02
   7.497250      6.1563987E-06  3.2601878E-02
   8.033448      5.1535171E-06  3.3575278E-02
   8.607995      4.3122318E-06  3.4563515E-02
   9.223632      3.6068379E-06  3.5566598E-02
   9.883298      3.0156518E-06  3.6584474E-02
   10.59014      2.5204079E-06  3.7617184E-02
